Model Name,engine,Suffix,Power(kW),emission certi
DX300LC-7 (T4),DL08P,LEE02,202,MDICL07.6LEA-008
DX300LC-7 (S5),DL08V,MFE00,202,e13*2016/1628*0378
DX350LC-7 (T4),DL08P,LEE03,213,MDICL07.6LEA-008
DX350LC-7 (S5),DL08V,MFE01,213,e13*2016/1628*0378
DX380LC-7 (S5),DC09,311A,240,e5*2016/1628*0049
DX420LC-7 (S5),DC13,311A,257,e5*2016/1628*0049
DX530LC-7 (S5),DC13,311A,294,e5*2016/1628*0049
DX800LC-7 (S5),C15,2506J,402,e24*2016/1628*0043
DX1000LC-7 (T3),C18,2806D,470,96R-032742H
DX1000LC-7 (T4),C18,2806J,470,MCPXL15.2HTF-016
DX1000LC-7 (S5),C18,2806J,470,e24*2016/1628*0043
DX380LC-7K (S5),DC09,311A,240,e5*2016/1628*0050
DX300LCA-7M (T2),DE08,ecpec,151,-
DX300LC 320LC-7M (T3),DL08,MCE02,202,E4*96R02*0007*03
DX360LCA-7M (T2),DX12,MBE10,238,-
DX360LC-7M (T3),DL08,MCE01,238,E4*96R02*0007*03
DX490LCA-7M (T2),DX12,MBE11,257,-
DX490LC-7M (T3),DC13,076A,294,e5*97/68HA*0128
DX450LCA-7M (T2),DX12,MBE11,257,-
DX450LC-7M (T3),DC13,089A,257,e5*97/68HA*0128
DX400LC-7M (T3),DC09,076A,232,e5*96R*02009
DX300LC-7 (T4G),DL08,MEE00,202,Cert_MDICL07.6LEA
DX300LC-7K (S5G),DL08,MFE00,202,e13*2016/1628*0378
DX350LC-7 (T4G),DL08,LEE03,202,Cert_MDICL07.6LEA
DX350LC-7K (S5G),DL08,MFE01,202,e13*2016/1628*0378
DX420LC-7K (T4G),DC13,089A,257,MY9XL12.7DAA-002
DX420LC-7 (S5G),DC13,311A,257,e5*2016/1628*0049
DX530LC-7 (T4G),DC13,089A,283,MY9XL12.7DAA-002
DX530LC-7K (S5G),DC13,311A,294,e5*2016/1628*0049
